Coefficient,MAE,ExpVar
1.2911893787341548,5.531090105098711,0.9239026961737301
0.3004071226170426,5.531090105098711,0.9239026961737301
0.10177097057968748,5.531090105098711,0.9239026961737301
0.3731847295846663,5.531090105098711,0.9239026961737301
0.7713946338295157,5.531090105098711,0.9239026961737301
1.5786617068990072,5.531090105098711,0.9239026961737301
1.3808218388818259,5.531090105098711,0.9239026961737301
0.37801424918951043,5.531090105098711,0.9239026961737301
1.2665717229829214,5.531090105098711,0.9239026961737301
0.7175923632457408,5.531090105098711,0.9239026961737301
1.6658042523997725,5.531090105098711,0.9239026961737301
0.14916625064050915,5.531090105098711,0.9239026961737301
0.23262868863720998,5.531090105098711,0.9239026961737301
0.43841715752797106,5.531090105098711,0.9239026961737301
0.4028426249786881,5.531090105098711,0.9239026961737301
0.8296411706207278,5.531090105098711,0.9239026961737301
0.3104772483073994,5.531090105098711,0.9239026961737301
1.982707614671752,5.531090105098711,0.9239026961737301
19.893397305331938,5.531090105098711,0.9239026961737301
0.0954070640667084,5.531090105098711,0.9239026961737301
0.6063070233814818,5.531090105098711,0.9239026961737301
0.7666226179933289,5.531090105098711,0.9239026961737301
